time,value
2026-06-17T13:25:14.785295492Z,86
2026-06-17T13:25:18.737104348Z,87
2026-06-17T13:25:20.739320487Z,85
2026-06-17T13:25:22.781263125Z,88
2026-06-17T13:25:32.73513484Z,85
2026-06-17T13:25:34.741173871Z,86
2026-06-17T13:25:36.743688994Z,87
2026-06-17T13:25:38.782224608Z,88
2026-06-17T13:25:40.737972544Z,86
2026-06-17T13:25:42.732142519Z,88
2026-06-17T13:25:44.731327137Z,87
2026-06-17T13:25:46.736499251Z,89
2026-06-17T13:25:48.735618151Z,86
2026-06-17T13:25:52.742563332Z,87
2026-06-17T13:25:54.733335174Z,85
2026-06-17T13:25:56.793696942Z,87
2026-06-17T13:26:00.788381941Z,85
2026-06-17T13:26:02.917011284Z,88
2026-06-17T13:26:04.890190371Z,89
2026-06-17T13:26:08.933224248Z,88
2026-06-17T13:26:10.925725644Z,89
2026-06-17T13:26:12.939157541Z,90
2026-06-17T13:26:14.815199403Z,88
2026-06-17T13:26:16.816902129Z,86
2026-06-17T13:26:20.818094622Z,88
2026-06-17T13:26:24.735039589Z,87
2026-06-17T13:26:26.740150151Z,88
2026-06-17T13:26:28.73526858Z,89
2026-06-17T13:26:30.819412698Z,87
2026-06-17T13:26:32.73396679Z,90
2026-06-17T13:26:34.824576114Z,87
2026-06-17T13:26:38.738497958Z,86
2026-06-17T13:26:40.733804403Z,87
2026-06-17T13:26:44.733400428Z,88
2026-06-17T13:26:46.73176347Z,87
2026-06-17T13:26:48.823932505Z,86
2026-06-17T13:26:50.922600311Z,87
2026-06-17T13:26:53.239453773Z,86
2026-06-17T13:26:57.326771007Z,88
2026-06-17T13:26:59.216408465Z,87
2026-06-17T13:27:09.314142362Z,88
2026-06-17T13:27:13.094592554Z,87
2026-06-17T13:27:15.12094903Z,86
2026-06-17T13:27:17.11622075Z,88
2026-06-17T13:27:19.032666527Z,86
2026-06-17T13:27:23.111593164Z,89
2026-06-17T13:27:25.087606471Z,85
2026-06-17T13:27:27.326070495Z,88
2026-06-17T13:27:29.219083525Z,87
2026-06-17T13:27:31.013782826Z,86
2026-06-17T13:27:35.331455478Z,87
2026-06-17T13:27:40.933203533Z,88
2026-06-17T13:27:44.831310606Z,86
2026-06-17T13:27:46.830098321Z,88
2026-06-17T13:27:49.116690958Z,89
2026-06-17T13:27:51.034988533Z,87
2026-06-17T13:27:55.017548629Z,88
2026-06-17T13:27:56.937782617Z,86
2026-06-17T13:28:01.018404267Z,89
2026-06-17T13:28:04.916906823Z,87
2026-06-17T13:28:08.916779085Z,86
2026-06-17T13:28:10.815338739Z,87
2026-06-17T13:28:12.815063118Z,89
2026-06-17T13:28:16.837654829Z,88
2026-06-17T13:28:18.882317473Z,87
2026-06-17T13:28:22.928690252Z,88
2026-06-17T13:28:26.919224668Z,89
2026-06-17T13:28:29.022092195Z,86
2026-06-17T13:28:31.028177165Z,88
2026-06-17T13:28:35.036309175Z,86
2026-06-17T13:28:37.222726883Z,89
2026-06-17T13:28:39.314763494Z,87
2026-06-17T13:28:41.020858909Z,86
2026-06-17T13:28:45.314893091Z,88
2026-06-17T13:28:49.119226354Z,87
2026-06-17T13:28:50.834502039Z,86
2026-06-17T13:28:54.926997118Z,87
2026-06-17T13:28:56.820787115Z,88
2026-06-17T13:29:00.734807745Z,87
2026-06-17T13:29:02.734974827Z,86
2026-06-17T13:29:06.486981717Z,88
2026-06-17T13:29:08.735986235Z,86
2026-06-17T13:29:10.83414557Z,88
2026-06-17T13:29:12.926176049Z,87
2026-06-17T13:29:14.732125642Z,88
2026-06-17T13:29:22.937682616Z,87
2026-06-17T13:29:27.314401218Z,89
2026-06-17T13:29:29.213020723Z,88
2026-06-17T13:29:34.826774096Z,87
2026-06-17T13:29:36.825299189Z,89
2026-06-17T13:29:38.814007942Z,88
2026-06-17T13:29:40.817467667Z,87
2026-06-17T13:29:42.818561837Z,88
2026-06-17T13:29:44.822686431Z,87
2026-06-17T13:29:46.744769506Z,85
2026-06-17T13:29:48.820931033Z,88
2026-06-17T13:29:52.73370952Z,86
2026-06-17T13:29:56.735756555Z,88
2026-06-17T13:29:58.737486303Z,87
2026-06-17T13:30:02.897869768Z,88
2026-06-17T13:30:04.812094166Z,86
2026-06-17T13:30:06.809174888Z,88
2026-06-17T13:30:10.734690889Z,87
2026-06-17T13:30:12.735591854Z,88
2026-06-17T13:30:14.736443489Z,87
2026-06-17T13:30:18.733893994Z,86
2026-06-17T13:30:20.734716871Z,88
2026-06-17T13:30:22.735246088Z,89
2026-06-17T13:30:24.735183165Z,87
